"","stationcode","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"103","481S05856",0,0,-0.0853,0,0,0,-0.0225,-0.0447,0,NA,NA,NA,0.3413,NA,NA,NA
"104","722PS0535",0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"105","722PS0611",0,0,1.198,0,0,3,1.34495,-3.43,-3,-6,2.6766,-0.004,1.3953,NA,NA,NA
"106","801CE0152",-2,-2,0.052,0,-1,-1,-0.0051,0.0495,0,-4,-0.0037,-0.0022,0.0466,NA,NA,NA
"107","801LYC271",0,0,-0.1246,-2e-04,0,2,-0.6121,-0.0361,-2,-2,0.00815,-0.00915,1.0455,NA,NA,NA
"108","801MIC042",-95.5,-120,85.237,-1e-04,116,-5.5,-1.19385,-1.27305,27,160,-0.7472,-0.5193,175.2174,NA,NA,NA
"109","801RB8501",0,-50,0,0,0,-2,0,0,1,0,0.1,0.1,0,NA,NA,NA
"110","801S08727",12,12,0,-0.02,0,-1,0,0,1,1,0.1,0.1,0,NA,NA,NA
"111","801WE0550",0,0,-0.5431,0,0,0,-0.0459,-0.0485,0,0,-0.0324,-0.04685,0.4347,-16,1.34305,0
"112","801WE0669",-57,-61,29.9225,-0.0152,0,16,-0.23,-9.509,-88,-27,0,0.0419,34.5351,NA,NA,NA
"113","801WE0674",-7,-4,0,0,0,-2,0,0,-1,-4,0,-6e-04,0,NA,NA,NA
"114","801WE0989",-27.5,-26.5,666.54615,0.0728,0,17.5,-2.1,-2.1,-19.5,-64,-0.0044,0.1,1266.49665,NA,NA,NA
"115","801WE1008",12,12,0,-0.02,0,-2,0,0,2,2,0.1,0.1,0,NA,NA,NA
"116","801WE1013",0,-1,-0.02515,0,0,-5,0.0197,0.1708,0,-1,-0.0121,-0.0107,0.0415,NA,NA,NA
"117","801WE1020",0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,NA,NA,NA
"118","801WE1032",60,60.5,4280.74835,0.07385,-0.5,5,8.71615,482.98435,-5.5,NA,NA,NA,531.3732,NA,NA,NA
"119","801WE1043",0,0,0.1621,0,-1,-5,-0.0153,-0.034,-5,-5,-0.0299,-0.0323,0.20305,-1,5.4104,-1
"120","801WE1127",-45,-7,0.3914,0,-1,-3,0.0013,0.0325,-6,0.5,-0.01345,-0.00255,0.1606,2.5,-8.5146,-19
"121","801WE1132",-47,-47,0.0016,-2e-04,0,0,0,0,0,-2,0,0,0.0011,NA,NA,NA
"122","802SJR116",-85.5,-38,494.9747,0,62,2,33.5251,-5.9561,-23,155,1.6943,4.081,720.7063,NA,NA,NA
"123","802WE0539",-1,0,-0.0034,0,0,-2,-0.00205,-0.2222,-1,-1,6e-04,-0.0018,-0.00315,0,0.11045,0
"124","802WE0658",0,-1,-0.0031,0,0,-2,-0.00405,-0.0076,-1,-1,-3e-04,0.0044,0.01345,2,0.5033,0
"125","802WE0794",0,0,0,0,0,-1,0,2e-04,0,0,0,0,0,NA,NA,NA
"126","901DCCSMC",0,0,0.313,0,-1,-1,9e-04,-0.1042,0,0,-0.0066,0.0156,-0.6394,NA,NA,NA
"127","901S00313",-2,26,0,-0.0298,-29,-25,-0.832,1.5,-4,-9,0,0.01,0,0,0.2256,0
"128","901S00997",6.5,-71.5,2.4422,0,80,112.5,5e-04,-0.3848,-25.5,-39,0.003,-0.0198,20.5671,NA,NA,NA
"129","901S01705",0,0,-0.0014,0,0,0,0,-2e-04,0,0,-1e-04,-2e-04,-2e-04,NA,NA,NA
"130","901S01811",-38,-32,31.5052,0,34,70,-5.7655,-4.6494,-25,-64,0.034,0.2207,113.0292,2,9.9151,-47
